customer_name,total_sales,value_quartile
Amy Hunt,1550.99,4
Roger Barcio,1533.01,4
Brian Stugart,1521.04,4
Chad Cunningham,1486.1,4
Jason Gross,1484.04,4
Alan Haines,1476.12,4
Alyssa Crouse,1457.71,4
Andrew Gjertsen,1406.34,4
Anne Pryor,1392.77,4
Carol Triggs,1380.75,4
Toby Knight,1364.35,4
Cari Schnelling,1362.88,4
Christopher Martinez,1351.3,4
Janet Molinari,1348.64,4
Henry MacAllister,1348.46,4
Anna Chung,1310.38,4
Sam Zeldin,1290.0,4
Eleni McCrary,1253.44,4
Arthur Prichep,1251.18,4
Alyssa Tate,1235.31,4
Maria Etezadi,1219.25,4
Bruce Money,1167.03,4
Stewart Carmichael,1134.88,4
Helen Wasserman,1121.68,4
Aleksandra Gannaway,1102.51,4
Karen Ferguson,1095.27,4
Toby Braunhardt,1060.34,4
Anthony Jacobs,1029.47,4
Bart Pistole,1024.31,4
Carl Jackson,998.62,4
Michelle Tran,972.06,4
Fred Hopkins,968.87,4
Jas O'Carroll,964.44,4
Cindy Stewart,943.31,4
Bobby Odegard,943.26,4
Russell D'Ascenzo,928.0,4
Amy Cox,907.24,4
Joel Jenkins,865.26,4
Khloe Miller,860.93,4
Scott Williamson,852.11,4
Cynthia Arntzen,848.98,4
Gary Mitchum,848.07,4
Neil French,818.81,4
Adrian Hane,795.82,4
Mick Hernandez,793.38,4
Roland Murray,781.02,4
Matthew Clasen,775.95,4
Doug O'Connell,721.65,4
Heather Jas,714.24,4
Khloe Miller,710.53,4
Ivan Gibson,706.88,4
Matt Hagelstein,683.9,4
Matt Abelman,679.86,4
Joni Sundaresam,650.77,4
Sandra Flanagan,640.21,4
Sarah Bern,629.7,4
Tiffany House,617.92,4
Pete Kriz,604.79,4
Emily Burns,573.98,4
Paul Gonzalez,567.89,4
Pamela Coakley,564.7,4
Maurice Satty,555.82,4
Liz Thompson,506.8,4
Denise Leinenbach,491.79,4
Alex Avila,477.5,4
Kelly Collister,471.81,4
Bradley Talbott,469.63,4
Anne McFarland,459.93,4
Mark Hamilton,450.99,4
Julia West,440.92,4
Rick Huthwaite,415.82,4
Sara Luxemburg,399.09,4
Dennis Bolton,394.5,4
Gene McClure,373.04,4
Bryan Mills,368.66,4
Chris McAfee,350.18,4
Eric Murdock,343.33,4
Christine Kargatis,293.22,4
Dorothy Dickinson,198.08,4
Bart Pistole,195.83,4
Katrina Edelman,180.76,4
Nicole Fjeld,153.03,4
Natalie DeCherney,125.9,4
Michelle Ellison,93.22,4
Jeremy Farry,85.72,4
